Date,OrderID,ChannelID,RegionID,ProductID,Price,Quantity,Total
1/1/2011,892,1,837,1605,289.99,9,"2,609.91"
1/1/2011,1295,4,710,713,160.00,13,"2,080.00"
1/1/2011,1560,1,940,811,16.50,9,148.50
1/1/2011,2536,1,741,1505,230.00,8,"1,840.00"
1/1/2011,4687,1,787,700,159.00,9,"1,431.00"
1/1/2011,5161,1,728,651,116.00,13,"1,508.00"
1/1/2011,6637,2,800,707,91.00,12,"1,092.00"
1/1/2011,7621,1,818,1607,179.99,9,"1,619.91"
1/1/2011,12606,1,891,1659,259.99,9,"2,339.91"
1/1/2011,12973,2,800,1444,230.00,18,"4,140.00"
1/1/2011,13143,1,916,2517,3.35,80,268.00
1/1/2011,13661,2,800,1590,22.89,18,412.02
1/1/2011,14192,1,714,806,15.90,6,95.40
1/1/2011,14240,1,678,2508,4.74,160,758.40
1/1/2011,16811,1,835,1012,198.00,9,"1,782.00"
1/1/2011,17783,2,800,270,429.00,9,"3,861.00"
1/1/2011,19264,2,710,978,290.00,26,"7,540.00"
1/1/2011,19380,1,789,1510,129.00,4,516.00
1/1/2011,20257,4,529,1088,673.00,8,"5,384.00"
1/1/2011,20465,1,798,642,159.00,9,"1,431.00"
1/1/2011,20748,1,850,1411,268.00,9,"2,412.00"
1/1/2011,20804,2,800,191,66.00,4,264.00
1/1/2011,20898,1,837,1608,109.99,4,439.96
1/1/2011,21953,1,810,294,299.00,9,"2,691.00"
1/1/2011,24596,1,734,288,199.00,6,"1,194.00"
1/1/2011,27293,1,933,1358,39.99,9,359.91
1/1/2011,27731,1,911,1465,199.00,4,796.00
1/1/2011,28415,1,711,1439,301.00,13,"3,913.00"
1/1/2011,28547,1,949,446,219.95,12,"2,639.40"
1/1/2011,30552,1,811,973,200.00,9,"1,800.00"
1/1/2011,30857,2,800,761,16.90,8,135.20
1/1/2011,31803,2,710,474,49.00,12,588.00
1/1/2011,32351,2,586,759,11.90,4,47.60
1/1/2011,33937,1,803,470,129.00,4,516.00
1/1/2011,35106,4,693,567,229.00,9,"2,061.00"
1/1/2011,35854,1,754,1440,189.00,4,756.00
1/1/2011,35907,1,900,1363,22.99,9,206.91
1/1/2011,40820,1,835,1647,179.99,9,"1,619.91"
1/1/2011,42960,3,894,1349,9.99,8,79.92
1/1/2011,43038,1,790,928,33.99,4,135.96
1/1/2011,44665,1,932,728,196.00,9,"1,764.00"
1/1/2011,44829,4,710,968,186.90,13,"2,429.70"
1/1/2011,46485,1,943,1562,238.00,9,"2,142.00"
1/1/2011,46635,4,710,1036,184.50,13,"2,398.50"
1/1/2011,47049,2,710,1613,109.99,6,659.94
1/1/2011,47779,1,882,750,9.50,9,85.50
1/1/2011,50055,1,756,420,499.90,24,"11,997.60"
1/1/2011,52405,1,891,1637,17.99,9,161.91
1/1/2011,54288,3,894,1050,312.00,8,"2,496.00"
1/1/2011,56110,1,921,1284,24.99,4,99.96
1/1/2011,59625,4,710,1640,22.89,13,297.57
1/1/2011,61489,1,757,297,269.00,4,"1,076.00"
1/1/2011,61805,1,766,1135,328.00,4,"1,312.00"
1/1/2011,62997,3,894,904,75.99,16,"1,215.84"
1/1/2011,63265,4,529,1348,22.99,8,183.92
1/1/2011,67072,1,832,1351,16.99,4,67.96
1/1/2011,67740,1,895,615,229.00,9,"2,061.00"
1/1/2011,68028,1,911,1105,568.00,9,"5,112.00"
1/1/2011,70898,1,730,191,66.00,6,396.00
1/1/2011,73489,1,900,1437,199.00,4,796.00
1/1/2011,77158,1,723,390,"1,299.00",13,"16,887.00"
1/1/2011,77899,1,852,1036,184.50,9,"1,660.50"
1/1/2011,78002,1,756,298,309.00,8,"2,472.00"
1/1/2011,78862,1,867,7,21.57,4,86.28
1/1/2011,79235,4,529,1427,230.00,16,"3,680.00"
1/1/2011,80469,1,804,953,188.50,9,"1,696.50"
1/1/2011,80629,1,772,1432,300.00,8,"2,400.00"
1/1/2011,81065,2,710,1044,627.00,13,"8,151.00"
1/1/2011,84126,1,951,1446,289.00,9,"2,601.00"
1/1/2011,84586,4,529,579,229.00,16,"3,664.00"
1/1/2011,85705,1,933,123,279.99,9,"2,519.91"
1/1/2011,87049,1,745,666,163.00,8,"1,304.00"
1/1/2011,87844,2,710,779,39.90,12,478.80
1/1/2011,90384,1,828,515,59.00,4,236.00
1/1/2011,93426,1,764,538,99.00,4,396.00
1/1/2011,93959,1,712,680,116.00,13,"1,508.00"
1/1/2011,96687,1,933,332,219.00,4,876.00
1/1/2011,97046,1,823,731,129.00,9,"1,161.00"
1/1/2011,97237,1,758,928,33.99,4,135.96
1/1/2011,98633,1,774,3,14.52,4,58.08
1/1/2011,101746,3,894,1630,22.89,36,824.04
1/1/2011,101946,1,449,1135,328.00,4,"1,312.00"
1/1/2011,103436,2,800,1057,588.00,9,"5,292.00"
1/1/2011,103952,2,800,585,139.00,8,"1,112.00"
1/1/2011,106758,1,860,1117,436.20,9,"3,925.80"
1/1/2011,114503,1,754,1104,427.00,8,"3,416.00"
1/1/2011,114935,1,598,1514,208.00,9,"1,872.00"
1/1/2011,115421,1,752,780,19.95,8,159.60
1/1/2011,115572,1,909,1490,129.00,4,516.00
